# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.1 Build 850 06/23/2022 SJ Lite Edition
# File: /home/cam/Quartus/vhdl_unsigned_divider/src/display_divider.csv
# Generated on: Mon Oct 17 01:44:48 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
start,Input,,,,PIN_C25,,,,,,
out_remainder[13],Output,PIN_AH18,4,B4_N2,PIN_V22,,,,,,
out_remainder[12],Output,PIN_AF18,4,B4_N1,PIN_G13,,,,,,
out_remainder[11],Output,PIN_AG19,4,B4_N2,PIN_AD14,,,,,,
out_remainder[10],Output,PIN_AH19,4,B4_N2,PIN_K25,,,,,,
out_remainder[9],Output,PIN_AB18,4,B4_N0,PIN_D5,,,,,,
out_remainder[8],Output,PIN_AC18,4,B4_N1,PIN_AA19,,,,,,
out_remainder[7],Output,PIN_AD18,4,B4_N1,PIN_J24,,,,,,
out_remainder[6],Output,PIN_AE18,4,B4_N2,PIN_C23,,,,,,
out_remainder[5],Output,PIN_AF19,4,B4_N1,PIN_D23,,,,,,
out_remainder[4],Output,PIN_AE19,4,B4_N1,PIN_F19,,,,,,
out_remainder[3],Output,PIN_AH21,4,B4_N2,PIN_H22,,,,,,
out_remainder[2],Output,PIN_AG21,4,B4_N2,PIN_C24,,,,,,
out_remainder[1],Output,PIN_AA19,4,B4_N0,PIN_E19,,,,,,
out_remainder[0],Output,PIN_AB19,4,B4_N0,PIN_D24,,,,,,
out_quotient[27],Output,PIN_Y19,4,B4_N0,PIN_H17,,,,,,
out_quotient[26],Output,PIN_AF23,4,B4_N0,PIN_C12,,,,,,
out_quotient[25],Output,PIN_AD24,4,B4_N0,PIN_G19,,,,,,
out_quotient[24],Output,PIN_AA21,4,B4_N0,PIN_G18,,,,,,
out_quotient[23],Output,PIN_AB20,4,B4_N0,PIN_J17,,,,,,
out_quotient[22],Output,PIN_U21,5,B5_N0,PIN_E15,,,,,,
out_quotient[21],Output,PIN_V21,5,B5_N1,PIN_H15,,,,,,
out_quotient[20],Output,PIN_W28,5,B5_N1,PIN_E24,,,,,,
out_quotient[19],Output,PIN_W27,5,B5_N1,PIN_A21,,,,,,
out_quotient[18],Output,PIN_Y26,5,B5_N1,PIN_F18,,,,,,
out_quotient[17],Output,PIN_W26,5,B5_N1,PIN_C21,,,,,,
out_quotient[16],Output,PIN_Y25,5,B5_N1,PIN_B22,,,,,,
out_quotient[15],Output,PIN_AA26,5,B5_N1,PIN_B26,,,,,,
out_quotient[14],Output,PIN_AA25,5,B5_N1,PIN_D21,,,,,,
out_quotient[13],Output,PIN_U24,5,B5_N0,PIN_G15,,,,,,
out_quotient[12],Output,PIN_U23,5,B5_N1,PIN_D16,,,,,,
out_quotient[11],Output,PIN_W25,5,B5_N1,PIN_D13,,,,,,
out_quotient[10],Output,PIN_W22,5,B5_N0,PIN_E17,,,,,,
out_quotient[9],Output,PIN_W21,5,B5_N1,PIN_B17,,,,,,
out_quotient[8],Output,PIN_Y22,5,B5_N0,PIN_F15,,,,,,
out_quotient[7],Output,PIN_M24,6,B6_N2,PIN_E12,,,,,,
out_quotient[6],Output,PIN_H22,6,B6_N0,PIN_B23,,,,,,
out_quotient[5],Output,PIN_J22,6,B6_N0,PIN_D25,,,,,,
out_quotient[4],Output,PIN_L25,6,B6_N1,PIN_A25,,,,,,
out_quotient[3],Output,PIN_L26,6,B6_N1,PIN_A23,,,,,,
out_quotient[2],Output,PIN_E17,7,B7_N2,PIN_A26,,,,,,
out_quotient[1],Output,PIN_F22,7,B7_N0,PIN_F22,,,,,,
out_quotient[0],Output,PIN_G18,7,B7_N2,PIN_B25,,,,,,
out_overflow[6],Output,,,,PIN_AC10,,,,,,
out_overflow[5],Output,,,,PIN_B10,,,,,,
out_overflow[4],Output,,,,PIN_H13,,,,,,
out_overflow[3],Output,,,,PIN_J12,,,,,,
out_overflow[2],Output,,,,PIN_AB19,,,,,,
out_overflow[1],Output,,,,PIN_E7,,,,,,
out_overflow[0],Output,,,,PIN_A12,,,,,,
out_divisor[13],Output,,,,PIN_AF5,,,,,,
out_divisor[12],Output,,,,PIN_AF6,,,,,,
out_divisor[11],Output,,,,PIN_C3,,,,,,
out_divisor[10],Output,,,,PIN_Y7,,,,,,
out_divisor[9],Output,,,,PIN_AE23,,,,,,
out_divisor[8],Output,,,,PIN_R5,,,,,,
out_divisor[7],Output,,,,PIN_D4,,,,,,
out_divisor[6],Output,,,,PIN_J14,,,,,,
out_divisor[5],Output,,,,PIN_F14,,,,,,
out_divisor[4],Output,,,,PIN_J13,,,,,,
out_divisor[3],Output,,,,PIN_B11,,,,,,
out_divisor[2],Output,,,,PIN_G14,,,,,,
out_divisor[1],Output,,,,PIN_A11,,,,,,
out_divisor[0],Output,,,,PIN_E14,,,,,,
out_dividend[27],Output,,,,PIN_F12,,,,,,
out_dividend[26],Output,,,,PIN_A17,,,,,,
out_dividend[25],Output,,,,PIN_C15,,,,,,
out_dividend[24],Output,,,,PIN_A10,,,,,,
out_dividend[23],Output,,,,PIN_H16,,,,,,
out_dividend[22],Output,,,,PIN_C13,,,,,,
out_dividend[21],Output,,,,PIN_J15,,,,,,
out_dividend[20],Output,,,,PIN_A19,,,,,,
out_dividend[19],Output,,,,PIN_B19,,,,,,
out_dividend[18],Output,,,,PIN_F21,,,,,,
out_dividend[17],Output,,,,PIN_C20,,,,,,
out_dividend[16],Output,,,,PIN_G17,,,,,,
out_dividend[15],Output,,,,PIN_D19,,,,,,
out_dividend[14],Output,,,,PIN_A18,,,,,,
out_dividend[13],Output,,,,PIN_C14,,,,,,
out_dividend[12],Output,,,,PIN_G16,,,,,,
out_dividend[11],Output,,,,PIN_G21,,,,,,
out_dividend[10],Output,,,,PIN_J19,,,,,,
out_dividend[9],Output,,,,PIN_H21,,,,,,
out_dividend[8],Output,,,,PIN_G22,,,,,,
out_dividend[7],Output,,,,PIN_G24,,,,,,
out_dividend[6],Output,,,,PIN_F24,,,,,,
out_dividend[5],Output,,,,PIN_C26,,,,,,
out_dividend[4],Output,,,,PIN_E18,,,,,,
out_dividend[3],Output,,,,PIN_C22,,,,,,
out_dividend[2],Output,,,,PIN_F25,,,,,,
out_dividend[1],Output,,,,PIN_A22,,,,,,
out_dividend[0],Output,,,,PIN_B21,,,,,,
divisor[7],Input,PIN_AB26,5,B5_N1,PIN_E25,,,,,,
divisor[6],Input,PIN_AD26,5,B5_N2,PIN_C17,,,,,,
divisor[5],Input,PIN_AC26,5,B5_N2,PIN_C19,,,,,,
divisor[4],Input,PIN_AB27,5,B5_N1,PIN_D17,,,,,,
divisor[3],Input,PIN_AD27,5,B5_N2,PIN_H14,,,,,,
divisor[2],Input,PIN_AC27,5,B5_N2,PIN_D12,,,,,,
divisor[1],Input,PIN_AC28,5,B5_N2,PIN_D15,,,,,,
divisor[0],Input,PIN_AB28,5,B5_N1,PIN_D14,,,,,,
dividend[15],Input,,,,PIN_D10,2.5 V,,,,,
dividend[14],Input,,,,PIN_C16,,,,,,
dividend[13],Input,,,,PIN_J16,,,,,,
dividend[12],Input,,,,PIN_F17,,,,,,
dividend[11],Input,,,,PIN_D20,,,,,,
dividend[10],Input,,,,PIN_E21,,,,,,
